clip_name,video_name,swing_index,score,pkl_path,first_higher_wrists_backswing_frame,swing_day,start_idx,end_idx,top_backswing_idx
IMG_1017_swing_2_score_4,IMG_1017,2,4,../../../data/full_videos/ymirza/aug9/IMG_1017/keypoints/IMG_1017.pkl,5875,aug9,5865,5895,5885
IMG_1017_swing_3_score_3,IMG_1017,3,3,../../../data/full_videos/ymirza/aug9/IMG_1017/keypoints/IMG_1017.pkl,7388,aug9,7378,7408,7400
IMG_1017_swing_4_score_5,IMG_1017,4,5,../../../data/full_videos/ymirza/aug9/IMG_1017/keypoints/IMG_1017.pkl,9066,aug9,9056,9086,9078
IMG_1015_swing_0_score_3,IMG_1015,0,3,../../../data/full_videos/ymirza/aug9/IMG_1015/keypoints/IMG_1015.pkl,1660,aug9,1650,1680,1675
IMG_1015_swing_1_score_1,IMG_1015,1,1,../../../data/full_videos/ymirza/aug9/IMG_1015/keypoints/IMG_1015.pkl,3385,aug9,3375,3405,3399
IMG_1015_swing_2_score_3,IMG_1015,2,3,../../../data/full_videos/ymirza/aug9/IMG_1015/keypoints/IMG_1015.pkl,4783,aug9,4773,4803,4793
IMG_1015_swing_3_score_3,IMG_1015,3,3,../../../data/full_videos/ymirza/aug9/IMG_1015/keypoints/IMG_1015.pkl,6588,aug9,6578,6608,6603
IMG_1015_swing_4_score_2,IMG_1015,4,2,../../../data/full_videos/ymirza/aug9/IMG_1015/keypoints/IMG_1015.pkl,8635,aug9,8625,8655,8647
IMG_1015_swing_5_score_2,IMG_1015,5,2,../../../data/full_videos/ymirza/aug9/IMG_1015/keypoints/IMG_1015.pkl,10026,aug9,10016,10046,10042
IMG_1015_swing_6_score_1,IMG_1015,6,1,../../../data/full_videos/ymirza/aug9/IMG_1015/keypoints/IMG_1015.pkl,11687,aug9,11677,11707,11699
IMG_1015_swing_7_score_4,IMG_1015,7,4,../../../data/full_videos/ymirza/aug9/IMG_1015/keypoints/IMG_1015.pkl,13337,aug9,13327,13357,13347
IMG_1015_swing_8_score_1,IMG_1015,8,1,../../../data/full_videos/ymirza/aug9/IMG_1015/keypoints/IMG_1015.pkl,15014,aug9,15004,15034,15025
IMG_1015_swing_9_score_2,IMG_1015,9,2,../../../data/full_videos/ymirza/aug9/IMG_1015/keypoints/IMG_1015.pkl,16607,aug9,16597,16627,16620
IMG_1015_swing_10_score_4,IMG_1015,10,4,../../../data/full_videos/ymirza/aug9/IMG_1015/keypoints/IMG_1015.pkl,18693,aug9,18683,18713,18705
IMG_1015_swing_11_score_4,IMG_1015,11,4,../../../data/full_videos/ymirza/aug9/IMG_1015/keypoints/IMG_1015.pkl,20580,aug9,20570,20600,20594
IMG_1015_swing_12_score_2,IMG_1015,12,2,../../../data/full_videos/ymirza/aug9/IMG_1015/keypoints/IMG_1015.pkl,22515,aug9,22505,22535,22527
